,AMD,AMZN,BAC,GM,GOOG,INTC,MSFT,PFE,PYPL,VZ,XOM
175,2021-11-03,2021-11-05,2021-11-05,2021-11-03,2021-11-03,2022-02-03,2021-11-02,2021-11-19,2021-11-16,2021-11-02,2021-11-10
176,2022-01-27,2022-01-28,2022-02-15,2022-01-26,2022-01-26,2022-04-22,2022-01-18,2022-02-17,2022-01-27,2022-02-04,2022-02-16
177,2022-01-28,2022-01-31,2022-02-16,2022-01-27,2022-01-27,2022-04-25,2022-01-19,2022-02-18,2022-01-28,2022-02-07,2022-02-17
178,2022-01-31,2022-02-01,2022-02-17,2022-01-28,2022-01-28,2022-04-26,2022-01-20,2022-02-21,2022-01-31,2022-02-08,2022-02-18
179,2022-02-01,2022-02-02,2022-02-18,2022-01-31,2022-01-31,2022-04-27,2022-01-21,2022-02-22,2022-02-01,2022-02-09,2022-02-21
180,2022-02-02,2022-02-03,2022-02-21,2022-02-01,2022-02-01,2022-04-28,2022-01-24,2022-02-23,2022-02-02,2022-02-10,2022-02-22
181,2022-02-03,2022-02-04,2022-02-22,2022-02-02,2022-02-02,2022-04-29,2022-01-25,2022-02-24,2022-02-03,2022-02-11,2022-02-23
182,2022-02-04,2022-02-07,2022-02-23,2022-02-03,2022-02-03,2022-05-02,2022-01-26,2022-02-25,2022-02-04,2022-02-14,2022-02-24
183,2022-02-07,2022-02-08,2022-02-24,2022-02-04,2022-02-04,2022-05-03,2022-01-27,2022-02-28,2022-02-07,2022-02-15,2022-02-25
184,2022-02-08,2022-02-09,2022-02-25,2022-02-07,2022-02-07,2022-05-04,2022-01-28,2022-03-01,2022-02-08,2022-02-16,2022-02-28
185,2022-02-09,2022-02-10,2022-02-28,2022-02-08,2022-02-08,2022-05-05,2022-01-31,2022-03-02,2022-02-09,2022-02-17,2022-03-01
186,2022-02-10,2022-02-11,2022-03-01,2022-02-09,2022-02-09,2022-05-06,2022-02-01,2022-03-03,2022-02-10,2022-02-18,2022-03-02
187,2022-04-27,2022-04-22,2022-04-22,2022-04-20,2022-04-20,2022-07-22,2022-04-19,2022-05-04,2022-04-21,2022-04-20,2022-04-27
188,2022-04-28,2022-04-25,2022-04-25,2022-04-21,2022-04-21,2022-07-25,2022-04-20,2022-05-05,2022-04-22,2022-04-21,2022-04-28
189,2022-04-29,2022-04-26,2022-04-26,2022-04-22,2022-04-22,2022-07-26,2022-04-21,2022-05-06,2022-04-25,2022-04-22,2022-04-29
190,2022-05-02,2022-04-27,2022-04-27,2022-04-25,2022-04-25,2022-07-27,2022-04-22,2022-05-09,2022-04-26,2022-04-25,2022-05-02
191,2022-05-03,2022-04-28,2022-04-28,2022-04-26,2022-04-26,2022-07-28,2022-04-25,2022-05-10,2022-04-27,2022-04-26,2022-05-03
192,2022-05-04,2022-04-29,2022-04-29,2022-04-27,2022-04-27,2022-07-29,2022-04-26,2022-05-11,2022-04-28,2022-04-27,2022-05-04
193,2022-05-05,2022-05-02,2022-05-02,2022-04-28,2022-04-28,2022-08-01,2022-04-27,2022-05-12,2022-04-29,2022-04-28,2022-05-05
194,2022-05-06,2022-05-03,2022-05-03,2022-04-29,2022-04-29,2022-08-02,2022-04-28,2022-05-13,2022-05-02,2022-04-29,2022-05-06
195,2022-05-09,2022-05-04,2022-05-04,2022-05-02,2022-05-02,2022-08-03,2022-04-29,2022-05-16,2022-05-03,2022-05-02,2022-05-09
196,2022-05-10,2022-05-05,2022-05-05,2022-05-03,2022-05-03,2022-08-04,2022-05-02,2022-05-17,2022-05-04,2022-05-03,2022-05-10
197,2022-05-11,2022-05-06,2022-05-06,2022-05-04,2022-05-04,2022-08-05,2022-05-03,2022-05-18,2022-05-05,2022-05-04,2022-05-11
198,2022-07-27,2022-07-22,2022-07-22,2022-07-19,2022-07-20,2022-10-21,2022-07-21,2022-08-03,2022-07-27,2022-07-21,2022-07-27
199,2022-07-28,2022-07-25,2022-07-25,2022-07-20,2022-07-21,2022-10-24,2022-07-22,2022-08-04,2022-07-28,2022-07-22,2022-07-28
200,2022-07-29,2022-07-26,2022-07-26,2022-07-21,2022-07-22,2022-10-25,2022-07-25,2022-08-05,2022-07-29,2022-07-25,2022-07-29
201,2022-08-01,2022-07-27,2022-07-27,2022-07-22,2022-07-25,2022-10-26,2022-07-26,2022-08-08,2022-08-01,2022-07-26,2022-08-01
202,2022-08-02,2022-07-28,2022-07-28,2022-07-25,2022-07-26,2022-10-27,2022-07-27,2022-08-09,2022-08-02,2022-07-27,2022-08-02
203,2022-08-03,2022-07-29,2022-07-29,2022-07-26,2022-07-27,2022-10-28,2022-07-28,2022-08-10,2022-08-03,2022-07-28,2022-08-03
204,2022-08-04,2022-08-01,2022-08-01,2022-07-27,2022-07-28,2022-10-31,2022-07-29,2022-08-11,2022-08-04,2022-07-29,2022-08-04
205,2022-08-05,2022-08-02,2022-08-02,2022-07-28,2022-07-29,2022-11-01,2022-08-01,2022-08-12,2022-08-05,2022-08-01,2022-08-05
206,2022-08-08,2022-08-03,2022-08-03,2022-07-29,2022-08-01,2022-11-02,2022-08-02,2022-08-15,2022-08-08,2022-08-02,2022-08-08
207,2022-08-09,2022-08-04,2022-08-04,2022-08-01,2022-08-02,2022-11-03,2022-08-03,2022-08-16,2022-08-09,2022-08-03,2022-08-09
208,2022-08-10,2022-08-05,2022-08-05,2022-08-02,2022-08-03,2022-11-04,2022-08-04,2022-08-17,2022-08-10,2022-08-04,2022-08-10
209,2022-10-26,2022-10-21,2022-10-21,2022-10-18,2022-10-19,2023-01-20,2022-10-18,2022-11-02,2022-10-28,2022-10-18,2022-10-26
210,2022-10-27,2022-10-24,2022-10-24,2022-10-19,2022-10-20,2023-01-23,2022-10-19,2022-11-03,2022-10-31,2022-10-19,2022-10-27
211,2022-10-28,2022-10-25,2022-10-25,2022-10-20,2022-10-21,2023-01-24,2022-10-20,2022-11-04,2022-11-01,2022-10-20,2022-10-28
212,2022-10-31,2022-10-26,2022-10-26,2022-10-21,2022-10-24,2023-01-25,2022-10-21,2022-11-07,2022-11-02,2022-10-21,2022-10-31
213,2022-11-01,2022-10-27,2022-10-27,2022-10-24,2022-10-25,2023-01-26,2022-10-24,2022-11-08,2022-11-03,2022-10-24,2022-11-01
214,2022-11-02,2022-10-28,2022-10-28,2022-10-25,2022-10-26,2023-01-27,2022-10-25,2022-11-09,2022-11-04,2022-10-25,2022-11-02
215,2022-11-03,2022-10-31,2022-10-31,2022-10-26,2022-10-27,2023-01-30,2022-10-26,2022-11-10,2022-11-07,2022-10-26,2022-11-03
216,2022-11-04,2022-11-01,2022-11-01,2022-10-27,2022-10-28,2023-01-31,2022-10-27,2022-11-11,2022-11-08,2022-10-27,2022-11-04
217,2022-11-07,2022-11-02,2022-11-02,2022-10-28,2022-10-31,2023-02-01,2022-10-28,2022-11-14,2022-11-09,2022-10-28,2022-11-07
218,2022-11-08,2022-11-03,2022-11-03,2022-10-31,2022-11-01,2023-02-02,2022-10-31,2022-11-15,2022-11-10,2022-10-31,2022-11-08
219,2022-11-09,2022-11-04,2022-11-04,2022-11-01,2022-11-02,2023-02-03,2022-11-01,2022-11-16,2022-11-11,2022-11-01,2022-11-09
220,2023-02-20,2023-01-27,2023-02-15,2023-01-24,2023-01-27,2023-04-21,2023-01-17,2023-02-16,2023-02-03,2023-02-03,2023-02-15
221,2023-02-21,2023-01-30,2023-02-16,2023-01-25,2023-01-30,2023-04-24,2023-01-18,2023-02-17,2023-02-06,2023-02-06,2023-02-16
222,2023-02-22,2023-01-31,2023-02-17,2023-01-26,2023-01-31,2023-04-25,2023-01-19,2023-02-20,2023-02-07,2023-02-07,2023-02-17
223,2023-02-23,2023-02-01,2023-02-20,2023-01-27,2023-02-01,2023-04-26,2023-01-20,2023-02-21,2023-02-08,2023-02-08,2023-02-20
224,2023-02-24,2023-02-02,2023-02-21,2023-01-30,2023-02-02,2023-04-27,2023-01-23,2023-02-22,2023-02-09,2023-02-09,2023-02-21
225,2023-02-27,2023-02-03,2023-02-22,2023-01-31,2023-02-03,2023-04-28,2023-01-24,2023-02-23,2023-02-10,2023-02-10,2023-02-22
226,2023-02-28,2023-02-06,2023-02-23,2023-02-01,2023-02-06,2023-05-01,2023-01-25,2023-02-24,2023-02-13,2023-02-13,2023-02-23
227,2023-03-01,2023-02-07,2023-02-24,2023-02-02,2023-02-07,2023-05-02,2023-01-26,2023-02-27,2023-02-14,2023-02-14,2023-02-24
228,2023-03-02,2023-02-08,2023-02-27,2023-02-03,2023-02-08,2023-05-03,2023-01-27,2023-02-28,2023-02-15,2023-02-15,2023-02-27
229,2023-03-03,2023-02-09,2023-02-28,2023-02-06,2023-02-09,2023-05-04,2023-01-30,2023-03-01,2023-02-16,2023-02-16,2023-02-28
230,2023-03-06,2023-02-10,2023-03-01,2023-02-07,2023-02-10,2023-05-05,2023-01-31,2023-03-02,2023-02-17,2023-02-17,2023-03-01
231,2023-04-26,2023-04-21,2023-04-24,2023-04-18,2023-04-19,2023-07-21,2023-04-18,2023-05-03,2023-05-02,2023-04-20,2023-04-25
232,2023-04-27,2023-04-24,2023-04-25,2023-04-19,2023-04-20,2023-07-24,2023-04-19,2023-05-04,2023-05-03,2023-04-21,2023-04-26
233,2023-04-28,2023-04-25,2023-04-26,2023-04-20,2023-04-21,2023-07-25,2023-04-20,2023-05-05,2023-05-04,2023-04-24,2023-04-27
234,2023-05-01,2023-04-26,2023-04-27,2023-04-21,2023-04-24,2023-07-26,2023-04-21,2023-05-08,2023-05-05,2023-04-25,2023-04-28
235,2023-05-02,2023-04-27,2023-04-28,2023-04-24,2023-04-25,2023-07-27,2023-04-24,2023-05-09,2023-05-08,2023-04-26,2023-05-01
236,2023-05-03,2023-04-28,2023-05-01,2023-04-25,2023-04-26,2023-07-28,2023-04-25,2023-05-10,2023-05-09,2023-04-27,2023-05-02
237,2023-05-04,2023-05-01,2023-05-02,2023-04-26,2023-04-27,2023-07-31,2023-04-26,2023-05-11,2023-05-10,2023-04-28,2023-05-03
238,2023-05-05,2023-05-02,2023-05-03,2023-04-27,2023-04-28,2023-08-01,2023-04-27,2023-05-12,2023-05-11,2023-05-01,2023-05-04
239,2023-05-08,2023-05-03,2023-05-04,2023-04-28,2023-05-01,2023-08-02,2023-04-28,2023-05-15,2023-05-12,2023-05-02,2023-05-05
240,2023-05-09,2023-05-04,2023-05-05,2023-05-01,2023-05-02,2023-08-03,2023-05-01,2023-05-16,2023-05-15,2023-05-03,2023-05-08
241,2023-05-10,2023-05-05,2023-05-08,2023-05-02,2023-05-03,2023-08-04,2023-05-02,2023-05-17,2023-05-16,2023-05-04,2023-05-09
242,2023-07-26,2023-07-28,2023-07-24,2023-07-18,2023-07-19,,2023-07-20,2023-08-02,2023-07-27,2023-07-21,2023-07-25
243,2023-07-27,2023-07-31,2023-07-25,2023-07-19,2023-07-20,,2023-07-21,2023-08-03,2023-07-28,2023-07-24,2023-07-26
244,2023-07-28,2023-08-01,2023-07-26,2023-07-20,2023-07-21,,2023-07-24,2023-08-04,2023-07-31,2023-07-25,2023-07-27
245,2023-07-31,2023-08-02,2023-07-27,2023-07-21,2023-07-24,,2023-07-25,2023-08-07,2023-08-01,2023-07-26,2023-07-28
246,2023-08-01,2023-08-03,2023-07-28,2023-07-24,2023-07-25,,2023-07-26,2023-08-08,2023-08-02,2023-07-27,2023-07-31
247,2023-08-02,2023-08-04,2023-07-31,2023-07-25,2023-07-26,,2023-07-27,2023-08-09,2023-08-03,2023-07-28,2023-08-01
248,2023-08-03,2023-08-07,2023-08-01,2023-07-26,2023-07-27,,2023-07-28,2023-08-10,2023-08-04,2023-07-31,2023-08-02
249,2023-08-04,2023-08-08,2023-08-02,2023-07-27,2023-07-28,,2023-07-31,2023-08-11,2023-08-07,2023-08-01,2023-08-03
250,2023-08-07,2023-08-09,2023-08-03,2023-07-28,2023-07-31,,2023-08-01,2023-08-14,2023-08-08,2023-08-02,2023-08-04
251,2023-08-08,2023-08-10,2023-08-04,2023-07-31,2023-08-01,,2023-08-02,2023-08-15,2023-08-09,2023-08-03,2023-08-07
252,2023-08-09,2023-08-11,2023-08-07,2023-08-01,2023-08-02,,2023-08-03,2023-08-16,2023-08-10,2023-08-04,2023-08-08
253,2023-10-25,,2023-10-24,2023-10-17,2023-10-18,,2023-10-17,2023-11-01,2023-10-26,2023-10-19,2023-10-24
254,2023-10-26,,2023-10-25,2023-10-18,2023-10-19,,2023-10-18,2023-11-02,2023-10-27,2023-10-20,2023-10-25
255,2023-10-27,,2023-10-26,2023-10-19,2023-10-20,,2023-10-19,2023-11-03,2023-10-30,2023-10-23,2023-10-26
256,2023-10-30,,2023-10-27,2023-10-20,2023-10-23,,2023-10-20,2023-11-06,2023-10-31,2023-10-24,2023-10-27
257,2023-10-31,,2023-10-30,2023-10-23,2023-10-24,,2023-10-23,2023-11-07,2023-11-01,2023-10-25,2023-10-30
258,2023-11-01,,2023-10-31,2023-10-24,2023-10-25,,2023-10-24,2023-11-08,2023-11-02,2023-10-26,2023-10-31
259,2023-11-02,,2023-11-01,2023-10-25,2023-10-26,,2023-10-25,2023-11-09,2023-11-03,2023-10-27,2023-11-01
260,2023-11-03,,2023-11-02,2023-10-26,2023-10-27,,2023-10-26,2023-11-10,2023-11-06,2023-10-30,2023-11-02
261,2023-11-06,,2023-11-03,2023-10-27,2023-10-30,,2023-10-27,2023-11-13,2023-11-07,2023-10-31,2023-11-03
262,2023-11-07,,2023-11-06,2023-10-30,2023-10-31,,2023-10-30,2023-11-14,2023-11-08,2023-11-01,2023-11-06
263,2023-11-08,,2023-11-07,2023-10-31,2023-11-01,,2023-10-31,2023-11-15,2023-11-09,2023-11-02,2023-11-07
